Price,Open,Open,Open,High,High,High,Low,Low,Low,Close,Close,Close,Volume,Volume,Volume
Ticker,CHOLAFIN.NS,ICICIPRULI.NS,^CNXIT,CHOLAFIN.NS,ICICIPRULI.NS,^CNXIT,CHOLAFIN.NS,ICICIPRULI.NS,^CNXIT,CHOLAFIN.NS,ICICIPRULI.NS,^CNXIT,CHOLAFIN.NS,ICICIPRULI.NS,^CNXIT
Date,,,,,,,,,,,,,,,
2015-12-02,127.94999694824219,,,129.22000122070312,,,125.44000244140625,,,125.9800033569336,,,202505,,
2015-12-03,127.9000015258789,,,128.7899932861328,,,124.33000183105469,,,124.98999786376953,,,233885,,
2015-12-04,124.0,,,128.36000061035156,,,124.0,,,126.33999633789062,,,54745,,
2015-12-07,125.61000061035156,,,130.0,,,125.5999984741211,,,127.41000366210938,,,30135,,
2015-12-08,126.55999755859375,,,128.1999969482422,,,126.0,,,126.66000366210938,,,46715,,
2015-12-09,126.26000213623047,,,126.97000122070312,,,122.38999938964844,,,124.45999908447266,,,107925,,
2015-12-10,123.05000305175781,,,126.19999694824219,,,123.05000305175781,,,124.80000305175781,,,63330,,
2015-12-11,125.11000061035156,,,127.9800033569336,,,123.80999755859375,,,126.4000015258789,,,54405,,
2015-12-14,125.16999816894531,,,127.5999984741211,,,125.16999816894531,,,126.16999816894531,,,56525,,
2015-12-15,128.91000366210938,,,129.60000610351562,,,125.19999694824219,,,128.92999267578125,,,106745,,
2015-12-16,129.0,,,129.8000030517578,,,126.5199966430664,,,127.87999725341797,,,47605,,
2015-12-17,128.38999938964844,,,128.60000610351562,,,126.13999938964844,,,127.62999725341797,,,50345,,
2015-12-18,128.58999633789062,,,129.0,,,126.58999633789062,,,127.31999969482422,,,394755,,
2015-12-21,128.1999969482422,,,131.89999389648438,,,128.00999450683594,,,129.58999633789062,,,453130,,
2015-12-22,129.57000732421875,,,131.39999389648438,,,127.33000183105469,,,129.16000366210938,,,181480,,
2015-12-23,132.0,,,132.39999389648438,,,129.22000122070312,,,130.9600067138672,,,207235,,
2015-12-24,130.80999755859375,,,132.39999389648438,,,128.6999969482422,,,131.22999572753906,,,60840,,
