symbol,indices,price,rsi,ma50,ma200,volume,avg_volume
BANDHANBNK.NS,nifty_midcap,146.33999633789062,23.248922304224067,162.76519989013673,,11739287.0,10943247.65
GAIL.NS,nifty_energy,141.72999572753906,42.4746689789163,157.26500061035156,,15268069.0,17443704.65
INFY.NS,"nifty50,nifty_it",1300.800048828125,54.641911532063936,1402.6900024414062,,12873492.0,11708701.9
HEROMOTOCO.NS,"nifty50,nifty_auto",5011.5,34.140163242330416,5496.31,,753867.0,513296.1
PIDILITIND.NS,nifty50,1273.5999755859375,34.66446255627578,1424.3740063476562,,889612.0,738879.35
GODREJCP.NS,nifty_fmcg,994.7999877929688,30.547716196096147,1139.7230041503906,,1737577.0,1770696.85
SUNPHARMA.NS,"nifty50,nifty_pharma",1693.5999755859375,28.261579428327536,1724.3680078125,,3937824.0,3054760.05
RELIANCE.NS,"nifty50,nifty_energy",1350.5,40.93192938313408,1406.4800024414062,,21280051.0,20582235.85
SHREECEM.NS,nifty50,23125.0,45.22144522144522,25584.8,,20490.0,36533.7
PERSISTENT.NS,nifty_it,5227.7001953125,69.81178162541093,5318.17400390625,,964640.0,764887.0
BANKBARODA.NS,nifty_bank,249.55999755859375,26.203598662050894,291.5408013916016,,14887386.0,10472130.75
POLYCAB.NS,nifty_midcap,6878.0,35.9347105330273,7521.49,,387042.0,581792.75
TECHM.NS,"nifty50,nifty_it",1441.5,66.26176729530606,1497.0100073242188,,2501510.0,2274921.8
SBILIFE.NS,nifty50,1774.0,26.336973799802536,1978.7019995117187,,1494738.0,1201438.35
UPL.NS,nifty50,593.0,42.213798722529106,673.5589978027343,,1403119.0,2594853.95
HCLTECH.NS,"nifty50,nifty_it",1402.199951171875,58.578503178673145,1477.0379931640625,,6509389.0,3468564.95
BPCL.NS,"nifty50,nifty_energy",278.1499938964844,23.16935673943975,346.13700012207033,,13404373.0,16144571.35
